Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Difficulty,Resort,Slope Length (ft),Average Steepness
High Yellow Gully,7559.0,7854.0,295.0,Green,Alpine Meadows,686.4,0.4297785547785548
Hot Wheels Gully,7169.0,7444.0,276.0,Green,Alpine Meadows,1320.0,0.20909090909090908
Idiot's Delight,8225.0,8373.0,148.0,Green,Alpine Meadows,202.0,0.7326732673267327
Keyhole,8071.0,8435.0,367.0,Green,Alpine Meadows,468.0,0.7841880341880342
Lower 40 Face,7434.0,7769.0,335.0,Green,Alpine Meadows,686.4,0.48805361305361306
Lower 40 Gully,7011.0,7277.0,266.0,Green,Alpine Meadows,580.8,0.4579889807162535
Lower Beaver Entrance,7956.0,8156.0,200.0,Green,Alpine Meadows,580.8,0.34435261707988984
Lower Saddle,8130.0,8317.0,187.0,Green,Alpine Meadows,407.0,0.4594594594594595
North Peril,7907.0,8166.0,259.0,Green,Alpine Meadows,484.0,0.5351239669421488
Our Father,7894.0,8012.0,118.0,Green,Alpine Meadows,217.0,0.543778801843318
Palisades,7949.0,8448.0,499.0,Green,Alpine Meadows,1267.2,0.39378156565656564
Peril Ridge,8120.0,8294.0,171.0,Green,Alpine Meadows,686.4,0.24912587412587414
Peter's Peril,7904.0,8150.0,246.0,Green,Alpine Meadows,528.0,0.4659090909090909
Poma Rocks,7421.0,7615.0,194.0,Green,Alpine Meadows,448.0,0.4330357142857143
Pond Slope,6932.0,7142.0,213.0,Green,Alpine Meadows,897.6,0.23729946524064172
Promised Land,7241.0,7720.0,479.0,Green,Alpine Meadows,739.2,0.6479978354978354
S.P. Bowl,8031.0,8232.0,200.0,Green,Alpine Meadows,408.0,0.49019607843137253
Scott Chute,7067.0,8061.0,994.0,Green,Alpine Meadows,1900.8,0.5229377104377104
Sherwood Cliffs,7546.0,7913.0,367.0,Green,Alpine Meadows,633.6,0.579229797979798
Sherwood Creek,7221.0,7480.0,262.0,Green,Alpine Meadows,528.0,0.4962121212121212
Sherwood Face,7270.0,7733.0,463.0,Green,Alpine Meadows,1372.8,0.3372668997668998
South Beaver,7907.0,8278.0,371.0,Green,Alpine Meadows,686.4,0.5405011655011656
South Face,7096.0,8045.0,948.0,Green,Alpine Meadows,4752.0,0.1994949494949495
South Face Access,7110.0,8025.0,915.0,Green,Alpine Meadows,3643.2,0.25115283267457184
Sun Bowl,8146.0,8445.0,299.0,Green,Alpine Meadows,633.6,0.47190656565656564
Sympathy Face,7628.0,7864.0,236.0,Green,Alpine Meadows,792.0,0.29797979797979796
The Buttress,7372.0,7690.0,318.0,Green,Alpine Meadows,454.0,0.7004405286343612
The Face,7169.0,7835.0,663.0,Green,Alpine Meadows,1584.0,0.4185606060606061
Three Sisters,7365.0,7966.0,604.0,Green,Alpine Meadows,950.4,0.6355218855218855
Top Alpine Bowl,8543.0,8622.0,79.0,Green,Alpine Meadows,424.0,0.18632075471698112
Upper Saddle,8317.0,8481.0,161.0,Green,Alpine Meadows,897.6,0.17936720142602494
Waterfall,7388.0,7841.0,453.0,Green,Alpine Meadows,950.4,0.47664141414141414
Wolverine Bowl,7927.0,8156.0,233.0,Green,Alpine Meadows,580.8,0.40117079889807167
Wolverine Saddle,8199.0,8314.0,112.0,Green,Alpine Meadows,1108.8,0.10101010101010101
Terrain Park XS,6913.0,6932.0,20.0,Green,Alpine Meadows,209.0,0.09569377990430622
Treeline Cirque Terrain Park,6923.0,7008.0,85.0,Green,Alpine Meadows,515.0,0.1650485436893204
Yellow Terrain Park,7441.0,7595.0,154.0,Green,Alpine Meadows,739.2,0.20833333333333331
Meadow,6916.0,7070.0,154.0,Blue,Alpine Meadows,1056.0,0.14583333333333334
Subway,6857.0,6965.0,108.0,Blue,Alpine Meadows,1056.0,0.10227272727272728
Alpine Bowl,7762.0,8497.0,735.0,Blue,Alpine Meadows,2428.8,0.3026185770750988
Banana Chute,7175.0,7451.0,279.0,Blue,Alpine Meadows,739.2,0.3774350649350649
Bobby's Run,7582.0,7927.0,341.0,Blue,Alpine Meadows,1108.8,0.30753968253968256
Boomerang,7224.0,7605.0,381.0,Blue,Alpine Meadows,1214.4,0.3137351778656126
Charity,7221.0,7638.0,417.0,Blue,Alpine Meadows,1478.4,0.2820616883116883
Dance Floor,7073.0,7438.0,364.0,Blue,Alpine Meadows,1320.0,0.27575757575757576
East Creek,7083.0,7546.0,463.0,Blue,Alpine Meadows,2164.7999999999997,0.21387657058388768
East Runout,6923.0,7201.0,276.0,Blue,Alpine Meadows,1795.2,0.1537433155080214
Fall Line,7290.0,7628.0,338.0,Blue,Alpine Meadows,1003.2,0.3369218500797448
Kangaroo Main Run,6932.0,7224.0,292.0,Blue,Alpine Meadows,1214.4,0.24044795783926218
Kangaroo Ridge,6978.0,7280.0,302.0,Blue,Alpine Meadows,1531.1999999999998,0.1972309299895507
Ladies Slalom,7067.0,7457.0,387.0,Blue,Alpine Meadows,1267.2,0.30539772727272724
Lakeview to Weasel,7444.0,7782.0,338.0,Blue,Alpine Meadows,1953.6,0.17301392301392302
Leisure Lane,8022.0,8241.0,220.0,Blue,Alpine Meadows,2006.4,0.10964912280701754
Maid Marian,7375.0,7959.0,584.0,Blue,Alpine Meadows,2059.2000000000003,0.2836052836052836
Mountain View,7438.0,8235.0,797.0,Blue,Alpine Meadows,2851.2000000000003,0.27953142536475867
Nick's Run,6955.0,7372.0,417.0,Blue,Alpine Meadows,1478.4,0.2820616883116883
Outer Limits,7434.0,8251.0,817.0,Blue,Alpine Meadows,2745.6,0.2975670163170163
Ray's Rut,7113.0,7434.0,322.0,Blue,Alpine Meadows,3484.8,0.09240128558310376
Reily's Run,7438.0,7802.0,364.0,Blue,Alpine Meadows,1161.6,0.31336088154269975
Return Road to Weasel,7536.0,7671.0,135.0,Blue,Alpine Meadows,1478.4,0.09131493506493506
Robin Hood,7618.0,8009.0,394.0,Blue,Alpine Meadows,1320.0,0.29848484848484846
Rock Garden,7441.0,7871.0,430.0,Blue,Alpine Meadows,2323.2,0.1850895316804408
Sandy's Corner,7028.0,7208.0,180.0,Blue,Alpine Meadows,792.0,0.22727272727272727
Scott Meadow,7526.0,7740.0,213.0,Blue,Alpine Meadows,897.6,0.23729946524064172
Scott Ridge,7585.0,7986.0,400.0,Blue,Alpine Meadows,1214.4,0.3293807641633728
Scott Ridge Run,7415.0,8087.0,673.0,Blue,Alpine Meadows,2270.4,0.29642353770260743
Scotty's Beam,7612.0,8228.0,617.0,Blue,Alpine Meadows,1742.4,0.35410927456382
Sherwood Run,7116.0,8015.0,899.0,Blue,Alpine Meadows,4329.599999999999,0.20764042867701407
Shooting Star,7441.0,7867.0,430.0,Blue,Alpine Meadows,1425.6000000000001,0.3016273849607183
Skateboard Alley,7083.0,7421.0,341.0,Blue,Alpine Meadows,1478.4,0.2306547619047619
Standard Run,7644.0,7887.0,243.0,Blue,Alpine Meadows,633.6,0.38352272727272724
Summer Road,7818.0,8031.0,213.0,Blue,Alpine Meadows,1584.0,0.13446969696969696
Sun Spot,7884.0,8465.0,584.0,Blue,Alpine Meadows,1636.8,0.3567937438905181
Tiegel,6906.0,7060.0,154.0,Blue,Alpine Meadows,1636.8,0.09408602150537634
To Lakeview Chair,7434.0,7549.0,115.0,Blue,Alpine Meadows,1900.8,0.06050084175084175
Twilight Zone,7582.0,8087.0,502.0,Blue,Alpine Meadows,1372.8,0.3656759906759907
Upper Weasel One,7385.0,7871.0,486.0,Blue,Alpine Meadows,2428.8,0.200098814229249
Weasel Run,7060.0,7526.0,466.0,Blue,Alpine Meadows,2270.4,0.20525017618040872
Werner's Schuss,7215.0,7887.0,673.0,Blue,Alpine Meadows,1900.8,0.3540614478114478
West Runout,6932.0,7024.0,89.0,Blue,Alpine Meadows,844.8000000000001,0.10535037878787878
Winter Road,7943.0,8127.0,184.0,Blue,Alpine Meadows,1425.6000000000001,0.12906846240179573
Wolverine,7749.0,8468.0,722.0,Blue,Alpine Meadows,3115.2,0.23176682074987162
Yellow Trail,7070.0,7635.0,564.0,Blue,Alpine Meadows,1953.6,0.2886977886977887
Beaver Bowl,7887.0,8271.0,384.0,Blue,Alpine Meadows,792.0,0.48484848484848486
Bernie's Bowl,7375.0,7874.0,502.0,Blue,Alpine Meadows,1003.2,0.5003987240829346
Big Bend Bowl,8117.0,8320.0,203.0,Blue,Alpine Meadows,351.0,0.5783475783475783
Big Bend Keyhole,8140.0,8268.0,128.0,Blue,Alpine Meadows,310.0,0.4129032258064516
CB Chute,8061.0,8366.0,302.0,Blue,Alpine Meadows,633.6,0.47664141414141414
Chute That Seldom Slides,7106.0,7799.0,696.0,Blue,Alpine Meadows,1267.2,0.5492424242424242
CK Bench,7543.0,7717.0,174.0,Blue,Alpine Meadows,440.0,0.39545454545454545
Counterweight Gully,7615.0,7910.0,295.0,Blue,Alpine Meadows,400.0,0.7375
D-6,8166.0,8392.0,226.0,Blue,Alpine Meadows,488.0,0.46311475409836067
D-7,8091.0,8333.0,243.0,Blue,Alpine Meadows,495.0,0.4909090909090909
D-8,8009.0,8274.0,266.0,Blue,Alpine Meadows,514.0,0.5175097276264592
Estelle Bowl,7923.0,8176.0,253.0,Blue,Alpine Meadows,338.0,0.7485207100591716
Expert Shortcut,7680.0,7835.0,154.0,Blue,Alpine Meadows,346.0,0.44508670520231214
Face Cliffs,7421.0,7808.0,387.0,Blue,Alpine Meadows,792.0,0.48863636363636365
Gentian Gully,7808.0,8077.0,269.0,Blue,Alpine Meadows,1478.4,0.1819534632034632
Grouse Saddle,8189.0,8333.0,148.0,Blue,Alpine Meadows,200.0,0.74
Hidden Knolls,7569.0,7930.0,361.0,Blue,Alpine Meadows,792.0,0.45580808080808083
High Traverse to Sherwood,8491.0,8537.0,49.0,Blue,Alpine Meadows,792.0,0.06186868686868687
High Yellow Face,7989.0,8261.0,269.0,Blue,Alpine Meadows,686.4,0.3918997668997669
High Yellow Gully,7559.0,7854.0,295.0,Blue,Alpine Meadows,686.4,0.4297785547785548
Hot Wheels Gully,7169.0,7444.0,276.0,Blue,Alpine Meadows,1320.0,0.20909090909090908
Idiot's Delight,8225.0,8373.0,148.0,Blue,Alpine Meadows,202.0,0.7326732673267327
Keyhole,8071.0,8435.0,367.0,Blue,Alpine Meadows,468.0,0.7841880341880342
Lower 40 Face,7434.0,7769.0,335.0,Blue,Alpine Meadows,686.4,0.48805361305361306
Lower 40 Gully,7011.0,7277.0,266.0,Blue,Alpine Meadows,580.8,0.4579889807162535
Lower Beaver Entrance,7956.0,8156.0,200.0,Blue,Alpine Meadows,580.8,0.34435261707988984
Lower Saddle,8130.0,8317.0,187.0,Blue,Alpine Meadows,407.0,0.4594594594594595
North Peril,7907.0,8166.0,259.0,Blue,Alpine Meadows,484.0,0.5351239669421488
Our Father,7894.0,8012.0,118.0,Blue,Alpine Meadows,217.0,0.543778801843318
Palisades,7949.0,8448.0,499.0,Blue,Alpine Meadows,1267.2,0.39378156565656564
Peril Ridge,8120.0,8294.0,171.0,Blue,Alpine Meadows,686.4,0.24912587412587414
Peter's Peril,7904.0,8150.0,246.0,Blue,Alpine Meadows,528.0,0.4659090909090909
Poma Rocks,7421.0,7615.0,194.0,Blue,Alpine Meadows,448.0,0.4330357142857143
Pond Slope,6932.0,7142.0,213.0,Blue,Alpine Meadows,897.6,0.23729946524064172
Promised Land,7241.0,7720.0,479.0,Blue,Alpine Meadows,739.2,0.6479978354978354
S.P. Bowl,8031.0,8232.0,200.0,Blue,Alpine Meadows,408.0,0.49019607843137253
Scott Chute,7067.0,8061.0,994.0,Blue,Alpine Meadows,1900.8,0.5229377104377104
Sherwood Cliffs,7546.0,7913.0,367.0,Blue,Alpine Meadows,633.6,0.579229797979798
Sherwood Creek,7221.0,7480.0,262.0,Blue,Alpine Meadows,528.0,0.4962121212121212
Sherwood Face,7270.0,7733.0,463.0,Blue,Alpine Meadows,1372.8,0.3372668997668998
South Beaver,7907.0,8278.0,371.0,Blue,Alpine Meadows,686.4,0.5405011655011656
South Face,7096.0,8045.0,948.0,Blue,Alpine Meadows,4752.0,0.1994949494949495
South Face Access,7110.0,8025.0,915.0,Blue,Alpine Meadows,3643.2,0.25115283267457184
Sun Bowl,8146.0,8445.0,299.0,Blue,Alpine Meadows,633.6,0.47190656565656564
Sympathy Face,7628.0,7864.0,236.0,Blue,Alpine Meadows,792.0,0.29797979797979796
The Buttress,7372.0,7690.0,318.0,Blue,Alpine Meadows,454.0,0.7004405286343612
The Face,7169.0,7835.0,663.0,Blue,Alpine Meadows,1584.0,0.4185606060606061
Three Sisters,7365.0,7966.0,604.0,Blue,Alpine Meadows,950.4,0.6355218855218855
Top Alpine Bowl,8543.0,8622.0,79.0,Blue,Alpine Meadows,424.0,0.18632075471698112
Upper Saddle,8317.0,8481.0,161.0,Blue,Alpine Meadows,897.6,0.17936720142602494
Waterfall,7388.0,7841.0,453.0,Blue,Alpine Meadows,950.4,0.47664141414141414
Wolverine Bowl,7927.0,8156.0,233.0,Blue,Alpine Meadows,580.8,0.40117079889807167
Wolverine Saddle,8199.0,8314.0,112.0,Blue,Alpine Meadows,1108.8,0.10101010101010101
Terrain Park XS,6913.0,6932.0,20.0,Blue,Alpine Meadows,209.0,0.09569377990430622
Treeline Cirque Terrain Park,6923.0,7008.0,85.0,Blue,Alpine Meadows,515.0,0.1650485436893204
Yellow Terrain Park,7441.0,7595.0,154.0,Blue,Alpine Meadows,739.2,0.20833333333333331
Meadow,6916.0,7070.0,154.0,Black,Alpine Meadows,1056.0,0.14583333333333334
Subway,6857.0,6965.0,108.0,Black,Alpine Meadows,1056.0,0.10227272727272728
Alpine Bowl,7762.0,8497.0,735.0,Black,Alpine Meadows,2428.8,0.3026185770750988
Banana Chute,7175.0,7451.0,279.0,Black,Alpine Meadows,739.2,0.3774350649350649
Bobby's Run,7582.0,7927.0,341.0,Black,Alpine Meadows,1108.8,0.30753968253968256
Boomerang,7224.0,7605.0,381.0,Black,Alpine Meadows,1214.4,0.3137351778656126
Charity,7221.0,7638.0,417.0,Black,Alpine Meadows,1478.4,0.2820616883116883
Dance Floor,7073.0,7438.0,364.0,Black,Alpine Meadows,1320.0,0.27575757575757576
East Creek,7083.0,7546.0,463.0,Black,Alpine Meadows,2164.7999999999997,0.21387657058388768
East Runout,6923.0,7201.0,276.0,Black,Alpine Meadows,1795.2,0.1537433155080214
Fall Line,7290.0,7628.0,338.0,Black,Alpine Meadows,1003.2,0.3369218500797448
Kangaroo Main Run,6932.0,7224.0,292.0,Black,Alpine Meadows,1214.4,0.24044795783926218
Kangaroo Ridge,6978.0,7280.0,302.0,Black,Alpine Meadows,1531.1999999999998,0.1972309299895507
Ladies Slalom,7067.0,7457.0,387.0,Black,Alpine Meadows,1267.2,0.30539772727272724
Lakeview to Weasel,7444.0,7782.0,338.0,Black,Alpine Meadows,1953.6,0.17301392301392302
Leisure Lane,8022.0,8241.0,220.0,Black,Alpine Meadows,2006.4,0.10964912280701754
Maid Marian,7375.0,7959.0,584.0,Black,Alpine Meadows,2059.2000000000003,0.2836052836052836
Mountain View,7438.0,8235.0,797.0,Black,Alpine Meadows,2851.2000000000003,0.27953142536475867
Nick's Run,6955.0,7372.0,417.0,Black,Alpine Meadows,1478.4,0.2820616883116883
Outer Limits,7434.0,8251.0,817.0,Black,Alpine Meadows,2745.6,0.2975670163170163
Ray's Rut,7113.0,7434.0,322.0,Black,Alpine Meadows,3484.8,0.09240128558310376
Reily's Run,7438.0,7802.0,364.0,Black,Alpine Meadows,1161.6,0.31336088154269975
Return Road to Weasel,7536.0,7671.0,135.0,Black,Alpine Meadows,1478.4,0.09131493506493506
Robin Hood,7618.0,8009.0,394.0,Black,Alpine Meadows,1320.0,0.29848484848484846
Rock Garden,7441.0,7871.0,430.0,Black,Alpine Meadows,2323.2,0.1850895316804408
Sandy's Corner,7028.0,7208.0,180.0,Black,Alpine Meadows,792.0,0.22727272727272727
Scott Meadow,7526.0,7740.0,213.0,Black,Alpine Meadows,897.6,0.23729946524064172
Scott Ridge,7585.0,7986.0,400.0,Black,Alpine Meadows,1214.4,0.3293807641633728
Scott Ridge Run,7415.0,8087.0,673.0,Black,Alpine Meadows,2270.4,0.29642353770260743
Scotty's Beam,7612.0,8228.0,617.0,Black,Alpine Meadows,1742.4,0.35410927456382
Sherwood Run,7116.0,8015.0,899.0,Black,Alpine Meadows,4329.599999999999,0.20764042867701407
Shooting Star,7441.0,7867.0,430.0,Black,Alpine Meadows,1425.6000000000001,0.3016273849607183
Skateboard Alley,7083.0,7421.0,341.0,Black,Alpine Meadows,1478.4,0.2306547619047619
Standard Run,7644.0,7887.0,243.0,Black,Alpine Meadows,633.6,0.38352272727272724
Summer Road,7818.0,8031.0,213.0,Black,Alpine Meadows,1584.0,0.13446969696969696
Sun Spot,7884.0,8465.0,584.0,Black,Alpine Meadows,1636.8,0.3567937438905181
Tiegel,6906.0,7060.0,154.0,Black,Alpine Meadows,1636.8,0.09408602150537634
To Lakeview Chair,7434.0,7549.0,115.0,Black,Alpine Meadows,1900.8,0.06050084175084175
Twilight Zone,7582.0,8087.0,502.0,Black,Alpine Meadows,1372.8,0.3656759906759907
Upper Weasel One,7385.0,7871.0,486.0,Black,Alpine Meadows,2428.8,0.200098814229249
Weasel Run,7060.0,7526.0,466.0,Black,Alpine Meadows,2270.4,0.20525017618040872
Werner's Schuss,7215.0,7887.0,673.0,Black,Alpine Meadows,1900.8,0.3540614478114478
West Runout,6932.0,7024.0,89.0,Black,Alpine Meadows,844.8000000000001,0.10535037878787878
Winter Road,7943.0,8127.0,184.0,Black,Alpine Meadows,1425.6000000000001,0.12906846240179573
Wolverine,7749.0,8468.0,722.0,Black,Alpine Meadows,3115.2,0.23176682074987162
Yellow Trail,7070.0,7635.0,564.0,Black,Alpine Meadows,1953.6,0.2886977886977887
Beaver Bowl,7887.0,8271.0,384.0,Black,Alpine Meadows,792.0,0.48484848484848486
Bernie's Bowl,7375.0,7874.0,502.0,Black,Alpine Meadows,1003.2,0.5003987240829346
Big Bend Bowl,8117.0,8320.0,203.0,Black,Alpine Meadows,351.0,0.5783475783475783
Big Bend Keyhole,8140.0,8268.0,128.0,Black,Alpine Meadows,310.0,0.4129032258064516
CB Chute,8061.0,8366.0,302.0,Black,Alpine Meadows,633.6,0.47664141414141414
Chute That Seldom Slides,7106.0,7799.0,696.0,Black,Alpine Meadows,1267.2,0.5492424242424242
CK Bench,7543.0,7717.0,174.0,Black,Alpine Meadows,440.0,0.39545454545454545
Counterweight Gully,7615.0,7910.0,295.0,Black,Alpine Meadows,400.0,0.7375
D-6,8166.0,8392.0,226.0,Black,Alpine Meadows,488.0,0.46311475409836067
D-7,8091.0,8333.0,243.0,Black,Alpine Meadows,495.0,0.4909090909090909
D-8,8009.0,8274.0,266.0,Black,Alpine Meadows,514.0,0.5175097276264592
Estelle Bowl,7923.0,8176.0,253.0,Black,Alpine Meadows,338.0,0.7485207100591716
Expert Shortcut,7680.0,7835.0,154.0,Black,Alpine Meadows,346.0,0.44508670520231214
Face Cliffs,7421.0,7808.0,387.0,Black,Alpine Meadows,792.0,0.48863636363636365
Gentian Gully,7808.0,8077.0,269.0,Black,Alpine Meadows,1478.4,0.1819534632034632
Grouse Saddle,8189.0,8333.0,148.0,Black,Alpine Meadows,200.0,0.74
Hidden Knolls,7569.0,7930.0,361.0,Black,Alpine Meadows,792.0,0.45580808080808083
High Traverse to Sherwood,8491.0,8537.0,49.0,Black,Alpine Meadows,792.0,0.06186868686868687
High Yellow Face,7989.0,8261.0,269.0,Black,Alpine Meadows,686.4,0.3918997668997669
High Yellow Gully,7559.0,7854.0,295.0,Black,Alpine Meadows,686.4,0.4297785547785548
Hot Wheels Gully,7169.0,7444.0,276.0,Black,Alpine Meadows,1320.0,0.20909090909090908
Idiot's Delight,8225.0,8373.0,148.0,Black,Alpine Meadows,202.0,0.7326732673267327
Keyhole,8071.0,8435.0,367.0,Black,Alpine Meadows,468.0,0.7841880341880342
Lower 40 Face,7434.0,7769.0,335.0,Black,Alpine Meadows,686.4,0.48805361305361306
Lower 40 Gully,7011.0,7277.0,266.0,Black,Alpine Meadows,580.8,0.4579889807162535
Lower Beaver Entrance,7956.0,8156.0,200.0,Black,Alpine Meadows,580.8,0.34435261707988984
Lower Saddle,8130.0,8317.0,187.0,Black,Alpine Meadows,407.0,0.4594594594594595
North Peril,7907.0,8166.0,259.0,Black,Alpine Meadows,484.0,0.5351239669421488
Our Father,7894.0,8012.0,118.0,Black,Alpine Meadows,217.0,0.543778801843318
Palisades,7949.0,8448.0,499.0,Black,Alpine Meadows,1267.2,0.39378156565656564
Peril Ridge,8120.0,8294.0,171.0,Black,Alpine Meadows,686.4,0.24912587412587414
Peter's Peril,7904.0,8150.0,246.0,Black,Alpine Meadows,528.0,0.4659090909090909
Poma Rocks,7421.0,7615.0,194.0,Black,Alpine Meadows,448.0,0.4330357142857143
Pond Slope,6932.0,7142.0,213.0,Black,Alpine Meadows,897.6,0.23729946524064172
Promised Land,7241.0,7720.0,479.0,Black,Alpine Meadows,739.2,0.6479978354978354
S.P. Bowl,8031.0,8232.0,200.0,Black,Alpine Meadows,408.0,0.49019607843137253
Scott Chute,7067.0,8061.0,994.0,Black,Alpine Meadows,1900.8,0.5229377104377104
Sherwood Cliffs,7546.0,7913.0,367.0,Black,Alpine Meadows,633.6,0.579229797979798
Sherwood Creek,7221.0,7480.0,262.0,Black,Alpine Meadows,528.0,0.4962121212121212
